participant.code,id_in_session,_is_bot,_index_in_pages,_max_page_index,_current_app_name,_current_page_name,time_started,visited,mturk_worker_id,mturk_assignment_id,code,mturk_HITId,mturk_HITGroupId,comment,is_demo,participation_fee,real_world_currency_per_point,id_in_group,role,applicants,bids,perform_guesses,soc_approp_ratings,captcha,understanding1,understanding2,understanding3,understanding4,understanding5,age,gender,education,employed,understanding1_attempts,understanding2_attempts,understanding3_attempts,understanding4_attempts,understanding5_attempts,understanding6_attempts,study_topic_guess,male_avg_answers_guess,female_avg_answers_guess,exit_survey_perform,exit_survey_promote,exit_survey_male_avatar,exit_survey_female_avatar,male_enjoy_agree,male_respect_agree,male_approachable_agree,male_interpersonal_agree,male_recommend_agree,male_confident_describe,female_enjoy_agree,female_respect_agree,female_approachable_agree,female_interpersonal_agree,female_recommend_agree,female_confident_describe,time_start,time_end,id_in_subsession,round_number,hit_approved,bonus
50fxujs6,1,0,13,13,employer,CompletionCode,2021-12-29 18:17:44.955787+00:00,1,A2Q0XPK1CBAKFA,3PB5A5BD0V5UARFYAUJMFB480OG7G2,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,1,,5zkjf1pl-n791id39-jtcyhwk6-r3ij0dum-s3rpwdlm-hoj94gwv-oyeoggwk-uch3h0he-01ndtz0l-qqoyw2kl-dasl6sph-udocdw6n-3hg1ibh6-1b3kjcld-lxzud0dd-wk931wj1-8uy5rogw-94lzn6rt-irocraat-jsfenmiw-iif94zfd-l4roxweq-8jpxbzrf,1.52-1.67-0.55-1.45-1.78-1.29-1.94-1.19-0.30-0.48-2.00-1.50-1.05-1.08-0.03-2.00-1.18-1.04-1.27-0.78-1.17-1.41-1.60,7-8-9-5-7-9-7-6-2-8-8-7-6-7-2-9-8-6-6-5-7-9-9,1-5-4-3-2-1-4-4-5-2-3-5-4-2-1-5-2-4-3-1-4-5-4,03AGdBq24ABB2QOnoyhj9pwgxrC378JU12dbMGOstZM4yQLyTZBfgcjX4qiCrLlX3QcVpMQMadS241afSjdcrhRJ_67xTZGY37LrYILYbVF_r88tkjaHkIetlnDu_R1nfCqcZEzfJiHz2VFQjxPLcP3j8VLscl9yv2xlfChHCUwQFMtzpFL8TmQ2JpiB8ifWft-M2j45-UBpY7rmVqtXUKjUcAK8A3cqDll3OvW_CKBa4ru4qeNcIa8g0V9ON0BkrtTw4_FK1nLAnKhaub_XY5hXlq_NborwUjN_XXW8qM6wGN8zePayHWTiAGYb6c7p3pVcd3an2wksCotQ-sLdFL_ZBgZgiWQWMiI14uCtB2sXvm-xncAdgslkZaIfmtm65funyVwo1P1dNqvstXt7mNXY2Sf9rJCfXmB5t1peFofReojToGEYA7pMZYWyyqJIRZtY9z754sVtCdhccYpqOLqbGyHmG9gbvm3g,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,34.0,Male,Bachelor's Degree,Employed full-time,1,3,3,1,3,0,Decision making,5.0,5.0,9,1,4,4,,,,,,,,,,,,,1640801869.0,1640802663.0,1,1,1,5.8
grevc34c,2,0,13,13,employer,CompletionCode,2021-12-29 18:17:50.472594+00:00,1,A2DDXYTEVDV5F5,35LDD5557A3IXGI44R6QWLTR2URKMS,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,2,,10yf6o97-ww7q81wj-0c1jqwyh-wmu1c1q9-fzmpuggn-6u6u2dss-6g35sepo-7nv1qcu7-ez3z17j3-8xkngy4m-2j7xp78y-pvyzgd9x-e17nkahl-lnpwgyfy-ox9g0skp-w301gu29-bbw8i6en-b2whpcyl-l6l0mt4z-7qv2bc0j-penrp7tk-3n8vme80-w301gu29-5jwnqazc-fsafjvdd-i2q5i0u7,1.00-1.00-0.20-0.49-0.50-1.00-0.50-1.00-1.00-0.00-0.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00-1.00,4-4-0-4-4-5-4-5-5-0-3-4-4-4-4-5-4-4-4-4-4-4-4-4-4-4,4-4-0-4-4-3-4-3-3-0-1-4-3-3-4-3-4-3-3-4-5-4-4-5-5-4,03AGdBq24P6tev5OiueaXEb0Qlo2HFhG47ZWjv8DfskqYbScE8YbgSL3cTZupL2QFNiKHxU-LGJaF09c3uX4rlLRuC-P_drieF-gnESmAccHIs79SmSGjN9PiimU6jBkKnZZHbpetw0ZDOUMhS2b3wDd965Wya2WC0BuEaGb0LHHZH8QD4yVGjWErvtkq6LG9NvSQax_zhZQjH4op7uHJXxBpZIqnmuEnhnCpiMmha7pJfYPB6_2OuMoQMiaOZIVmbpJt2JFSx7YPuPFMWhQfqUV-onaltfl7shJ24H-qt2BmO91JsKuvDMIuBQylsMW0rXEUpO3dfJsnOwDiAgyBxrTPTG53krSwwfvjoJ9OGUgojdysakpKQBHufAEfQaZdk-Ai2sPlpjRXsD0yQMEDpm-jN1ZySQTZilBX1pK3U57OaH3eEjokFo-LVEeY_RoiplGn3uWe4oOdCUtKNKEWM7IVMjV2ShbzA1H2ihYuiNpInIsOnSiS7SToy91vLeOUzFkoAPSd5JL44o_xOGCydaWHH3ooHalfmQg,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,37.0,Female,Master's Degree,Employed full-time,1,1,1,1,1,0,"Perception of job applicants in terms of a normal, work social setting? I'm not really sure.",4.0,4.0,10,2,3,3,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,not confident,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,not confident,1640801876.0,1640803945.0,1,1,1,0.2
4k0laiej,4,0,13,13,employer,CompletionCode,2021-12-29 18:18:07.999211+00:00,1,A1W6X3VNHHVIND,3IQ1VMJRYTJXEJQO3RPWXLKBXJRA95,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,4,,ehow7t5v-5c7b5fr6-39hmaccc-8v4i3p74-yhmamzgu-wj4zsjbz-fby9eph4-f3lgwq3x-00qym2wp-v68otc4w-jjzl4vat-pfevayk9-wktj2hbf-c0ew0fe7-bdixi8k9-hc04zua9-o3pze3uv-hg30c95o-jrfc17fn-2qqdnzxd-z9rncosm-vfbnmngl-0h5m1hj2,0.50-0.50-0.50-0.50-1.00-0.50-1.00-0.50-0.40-0.50-1.00-1.00-0.70-0.50-0.70-0.70-0.40-0.20-1.00-0.20-0.40-0.40-0.40,6-6-6-6-9-7-9-6-3-6-8-8-6-5-6-6-4-3-9-3-5-5-5,4-4-4-4-5-4-5-4-2-4-5-5-4-3-4-4-2-1-5-1-4-4-4,03AGdBq25EqqT1T494CP-9nBvj0cF0yFi3Q1PIMG1_vDAa_PrbrWxHgSnt1H7O2olhniRyv12KN0aofC9wTdK9Z2wSEyMRZpN4lcWo34YxOTPUXCpjzfaBv0uruR7nAFu5QA-qTBVmNExM25nxhJ8mCxaCraxKZSac5yaW7UdvHEPKyfCVral5ZcYu1zUloxu-e5w-h3P9_SvYgOnVqdHd7UCvz-8h-h15emwDMxU8t9pYSdgDbLazJDa_Bx7XFcA__zJflmOYLFJyB7Z0OC_ppQCg9ydiV809VitYMNo6vfQsQZzKWr4-E1Oj7tALCAmzJUyHWsGGwKh7IodFxwLPxAfTqm-2D3aIlZb_21eVCCY8blYQ9HfpjSZVTCzKKEj3TUOz6C0Bchq4NHGQ4kIETrSelpEI-Xi3V2kRvvGd4T6mlnxU7p4tVCL2vNjdU5hkKaDGpjN44Hz6gAU5nQXJRCX8S_Y7i4SOwg,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,35.0,Male,High School,Employed full-time,1,1,2,1,1,0,A relationship between applicant confidence and perception of their performance.,3.0,5.0,5,0,2,1,,,,,,,,,,,,,1640801892.0,1640803006.0,1,1,1,3.56
ppi6fag3,5,0,13,13,employer,CompletionCode,2021-12-29 18:18:09.435896+00:00,1,A2HFVL6GHX9R9V,3DH6GAKTYYODGS64NVXBDV4BFDIZYJ,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,5,,p13nqscu-220cwi98-8itecsse-w7ldbg7z-tkz1noch-axhuzi1a-eus3o3hj-e653dewp-mp4w2y76-kq4m8up8-b2whpcyl-1oub8wu1-1ukx8h6h-a2731e4s-j6m0e2vz-akaxbh89-mi1t6vl8-mljmqyoo-787e9srn-bajhj46k-nz6kxowu-rot1ywom-0j8ti9aj-0bc21dsx-zk6cu7b3-ti2e642b,1.51-1.00-1.81-1.68-1.46-1.52-1.33-2.00-0.59-1.20-1.60-1.25-1.68-1.35-1.47-1.14-1.16-2.00-1.79-1.11-1.42-1.57-1.64-2.00-1.14-1.08,7-5-7-6-4-5-6-7-3-6-6-5-8-5-6-4-5-6-5-5-3-4-6-4-6-3,2-4-2-3-4-4-4-2-1-4-4-3-4-5-4-4-4-2-4-3-4-4-3-4-3-4,03AGdBq26vxn6xm95KrZDwwO7pxBRUzCemVcyz0vgODWwESoDmgmFCjLp7qTSs6Kho6Jk1zTFEHAcXNixBBwN5TKlkvytMhaDi4RMlsNE9L5whEiv-7nLcMX5yxz1cTj0yAojOsAwGVmvwnVRyyp90vt0i-BwkNImoa9xxWLdJ9S-SDLL82NgS8QpCKFB9vkwFeyVRVat9_uIjHBmWbYVerLktB5OKJX71vG9dFW7nhTeYVL-yW56DbSza0Sv9QUoqg2p9ihsCFIxdxebd_lerEdM8bexC8u5QqeeC9UZR_l85fCodYfxBpySzP2GcWfuLvvKzDr00ihVax5HO-CjlJi0m3nf9nVeSoLwPj97uMg3v4ME-1tot_Vc_au-NURQjN2JNP-nqB4-uWXB9zH24zwxQEFrZOej4ChKFVjxcQEPXOXjQVJTtZOQXfIwqBpxfwJO1ichD2YdsmNae38uCFGweunKx4oSMVA,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,23.0,Male,High School,Student,1,1,1,1,3,0,I have no idea,4.0,5.0,0,0,4,3,agree,agree,strongly agree,agree,disagree,appropriately confident,agree,agree,agree,strongly agree,disagree,appropriately confident,1640801894.0,1640802784.0,1,1,1,2.6
jy6y6wm4,6,0,13,13,employer,CompletionCode,2021-12-29 18:18:10.215275+00:00,1,A2UR8ZKKO51K5N,3CN4LGXD5XNXDVIF227LJZR2EIG4YD,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,6,,70y6ycn9-v7b2g6tz-77xttjbe-53fyh7cn-jy8x65rf-cwczvk2x-j5yzxuxh-g1lp4ie1-g4n10274-4qj38vcp-wgzqstrm-i4ccwg2q-oqczx7yx-lgwzk0tu-xs6o6yqt-3dlg1acd-9a0s5keo-90jh7f1i-wvbdfp00-2dz8cvgn-hcp7bmrw-lr3uw4x4-huzosxyp,1.77-1.83-1.93-1.80-1.92-1.73-1.89-1.98-1.73-1.86-1.94-1.95-1.95-2.00-2.00-2.00-1.68-1.35-1.54-1.62-1.61-1.46-1.81,9-9-9-10-9-8-9-8-7-6-9-8-7-7-7-6-8-8-9-10-8-9-7,4-4-5-5-4-4-0-4-5-4-5-4-5-5-5-4-5-2-3-5-4-5-4,03AGdBq25ZpNwjMgNsohisshHYZpqxBJIxnTqM8TQWXfH2QVG67P7s6bMC1Z89r371mw3qz70vKjXo_JVc5NFL-NZQNknFTndEleeKLxrFcrQ49FG669vIptzwUNLdjw6imeTetjPN4ClOlr0qeKgKR84jJkNMaivGrvf8PzAviZR65Y1Sqhe7KVpz5We5ubcfAlAC0vkmKw8GSyZbz1knPQOAsezjeC78LRgSqT3DM-UCyEBRn_gyexfWeDDGwr81VbUeRJOLymOdjEKy3yA1WecjWCGox3A0dLmxtD5ld_ka0BEaoUxgM-wNmuGDCW3pBQH-3hV9aheLq8wL0GkwSYZGmfanWOnMCW2nFs73cf1db_f76IMi8wvTumfaGSkx4xBhZJtdkR8aOmWCxtsPF92AfpU1gBLD8xhq5xc--AKFUUqbNlYd00apAZf-eEC5ZW00mf3bAZEXr6sAHkQ0_C2Rt_SsRJUxSA,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,29.0,Female,Ph.D. or higher,Employed full-time,1,1,1,1,1,0,About how you and other workers can complete tasks,6.0,8.0,8,0,3,3,,,,,,,,,,,,,1640801900.0,1640802749.0,1,1,1,1.4
13cag7tg,8,0,13,13,employer,CompletionCode,2021-12-29 18:18:16.678430+00:00,1,AW6EYNXUCTTP8,3YWRV122CSYHFNLC4409XQ1UKG0U8B,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,8,,9h2gbboc-ojrrdh5e-qjkppr5t-sze9k8iw-8rzmwd72-3372hk5s-zx3sz859-ffjv77ie-bvna2x8u-mfypklan-c9g9gwgi-oicwoglv-ie1fq4tz-sap4eg2t-k3tjhoxo-8v2ewgtx-51lm5dtl-cc97jzlu-0qg519e3-x2fgu5qr-3uk4r6kz-4k2psvjb-zuoyty0d-aa6o56t1-r10kd9k7-oipb21uy,1.81-1.76-1.89-1.94-1.82-1.86-1.94-1.47-1.97-1.78-1.89-1.91-1.94-1.94-1.86-1.95-1.66-1.84-1.71-1.87-1.69-1.88-1.81-1.98-1.88-1.90,9-10-9-10-9-8-10-9-9-9-10-9-9-9-8-9-9-9-9-9-10-8-9-10-9-10,5-0-3-4-4-5-3-4-5-3-4-5-3-4-5-4-5-4-5-3-5-4-3-5-3-4,03AGdBq26P0qH9FZxP7PWx7d5nuB8-YknhOZnBXqHEL8UMERF0O0xi8_HTVNjLfTb3tzvBIAVoj6KWZzbHj53ltkC1ft0lWbXKw6NXyEJ7vLL4ccPtcQtxOz8vPqxlZ8lFWo4xmnGoKssZEMfaus7Bfdpd09PHlybUw_hAt116PL9D4qfRklqGAI90Xow5kvUD55yyKyYPOtiPNFNkr2JMd2FT1VIzpuNjYIVspEGHbI-a2GmaKqAbnrrzSdLNCPReh3JIgp7GQurOUFjIx3mPcsXwt8OX236PV_eOWAZ38Im5OgaBY2MtafUHNc5npowtdpdEII-CXBuy3KNfCUtHcjotDS-yi6KOm7AAc4nWgC0qQSuRYvvliZVQnxsA2MZashGLWpXmXyUE7m61RyNNRnvnfueHFr6hpYGaM9aWWPS8lZtellhy0e9GKw4C-93uN06rZzzVtAafxLac0Up0mgSRyi4V9G25Sg,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,32.0,Male,Master's Degree,Employed full-time,1,1,3,3,3,0,good,10.0,10.0,5,1,1,3,strongly agree,agree,strongly agree,agree,agree,overly confident,agree,strongly agree,agree,strongly agree,agree,overly confident,1640801909.0,1640802592.0,1,1,1,1.0
adi84k19,9,0,13,13,employer,CompletionCode,2021-12-29 18:18:28.391131+00:00,1,AJXIC6Q5EM76P,3WJEQKOXA81FPENTZEA3IF2SZ73A1W,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,9,,cws6cy37-1xmoqcu4-1wnz2mru-r9478kp1-38vb3s00-h4wdkrqw-ghfmoi2t-e10oypkq-d4bofsnc-k653stt8-0srcudr5-coglqb5u-0oi4tv1s-abrybt3a-zjb5p71o-z74h1chj-bdrn3wyz-c8bvsega-r4z3il7u-vbg5s3sa-hvkhqt7s-j5ctu510-3b1f6gw5-a949hr7q-odnz00d9-y39lzuqv,1.00-1.01-1.01-1.40-0.80-1.59-1.20-1.00-0.41-1.20-0.80-0.60-0.40-2.00-0.48-0.64-0.46-0.61-1.42-1.10-0.85-1.69-1.64-0.85-0.86-0.84,4-6-6-8-4-7-7-6-4-7-6-4-3-8-3-4-4-3-8-6-6-8-8-5-5-5,4-5-4-3-3-5-4-5-3-4-3-4-5-4-5-4-4-3-4-4-4-5-4-4-5-5,03AGdBq26yqayaRl1TxnDN_m13GXP5jUie4VzWk01VcZ9SKgzZn48QL2JVTDNuC0jnWZg7oDMxp1LPCKmHdk-NLkc-UY_BKL0ArppzSQZlsEMjlHzgs30x6EEI58WIdHcfUG2yfptacqzq6ffecANw41yz0YXQpHUWrINpusqwBqMMAHjl1E40SZTcpXXyd2hIJ2XSI5UDqw4rTSsGK8dXZwMNHwNQ63vlnEMNeabs862RGf0eewuQd7l4Z23RPVOY6GiNDewzbQ651dKv0IptuWC0-IKsJKIU8IGjyvV2EFUGXUpqHzSSnhGcqqWYZ33wl5HMy5MkyqKL1B07jCK_LprKp1PVJUfoXDfm2FGgliOcluTmWmB3HGnoyyg3I2OqPU0x_eSvye3fLMzLV9bM1JHSyAwaeqkvf5Gl207YWUHjk3TeCn3Ne3fc_9f7kOBV44oti5cVxElz9iwtA8CE6J99TvrRsOneBw,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,62.0,Male,High School,Employed full-time,1,1,1,1,3,0,"An interesting study, never done one like this before.",5.0,5.0,5,0,3,3,agree,agree,agree,agree,agree,overly confident,agree,agree,agree,agree,agree,overly confident,1640801912.0,1640807040.0,1,1,1,2.93
1cd2z5of,10,0,13,13,employer,CompletionCode,2021-12-29 18:18:28.501445+00:00,1,AE5PMBQWGU0HJ,3WJ1OXY92AFX0E7EYZJIXPP0DD98AE,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,10,,6xnfceux-1bo4kakh-htdfdrpc-u3cfsf93-lm5gof7b-cl2zviv9-pwp9ig4j-bbw8i6en-g0abgsc7-i2q5i0u7-gm8xgrse-dxdlw42y-l6l0mt4z-i45xxyl0-yofc9s9w-n9yygrrz-8xaxp057-3opiazqo-9nn29naa-fsafjvdd-89si320p-17ygwq85-hldgopfc-vkj1ohck-6mixb5f2-3n8vme80,1.67-1.54-1.71-1.59-1.75-1.55-1.72-1.56-1.72-1.79-1.57-1.81-1.55-1.70-1.75-1.55-1.72-1.55-1.69-1.72-1.57-1.60-1.75-1.77-1.66-1.60,8-8-8-9-9-9-7-9-9-9-8-9-9-9-8-9-8-9-8-9-8-9-9-8-9-9,2-4-3-4-5-4-3-4-4-2-4-2-3-4-5-4-3-4-5-4-4-4-4-3-4-4,03AGdBq27FnEEB5dDGAF_KhwCC5IC4hV7291ZHHIvrJeubXQt8CRuxQDhAtRbgFsDKPiSiUKJQW9pUTvAkpXt8urFIKoLMWkgjEV1iND6zOzJViOJRmhHI3g3MUwjP8fI5mjCoHjBRjXMMtYMB-eP_pKGtM-kF4JRa9JXZ_gOsvYHt5pZRhqLevWW7Z7NhU4ZTbEP3YN5DN-fB24JLpkFqeIm4mBiwWpW8R8iRAxWAKrHy7Li_YEff9LUec6F9URY_smdiRaoyizOsz5gZnj7bOfJh46Wlh3Go-fDRujW5Gv3NVh1faTRJwmy1na7nYHYBjf8HTFL_L-KR660JsvV0LCH_BWuGCs0mlc_gjXi1t80s17c0yMkv76SGdsmZx5kYntxsI3Ffe1mXSdvcerk_xTKQaL1lx5xD_g5hcZEs2SIglv5hOj5oTdN4CPLL_IHJmXg91LHk4ZBKbWtnGW96rk_uR1FlL68l8w,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,25.0,Female,Bachelor's Degree,Employed full-time,2,3,2,3,1,0,Interesting one,9.0,9.0,3,0,2,4,agree,strongly agree,agree,agree,strongly agree,overly confident,agree,agree,strongly agree,agree,agree,overly confident,1640801916.0,1640802334.0,1,1,1,0.6
091jfivt,12,0,13,13,employer,CompletionCode,2021-12-29 18:18:39.523797+00:00,1,A2O4HC8A59U8UR,34MAJL3QP4MWXSLRDHEVT5VP5HL346,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,12,,kfgdzof7-a2731e4s-gm8xgrse-4s5ikq3e-pwp9ig4j-pvyzgd9x-x7b4a2as-j6m0e2vz-17ygwq85-3opiazqo-vdquatx3-6xnfceux-6374a3p8-dxdlw42y-tzkpxfdp-cl2zviv9-l3ozq3j7-0vc2shd3-mljmqyoo-4lcexjf7-1oub8wu1-787e9srn-1ze7fytm-bajhj46k-rot1ywom-kq4m8up8,2.00-1.70-1.86-1.81-2.00-1.83-1.43-1.41-1.50-2.00-2.00-1.76-2.00-2.00-2.00-1.74-1.83-0.64-1.77-0.65-1.82-1.95-1.53-1.77-1.97-1.64,10-10-7-0-10-10-7-5-7-10-10-10-4-9-8-9-10-9-3-9-8-10-9-10-8-10,4-4-4-5-3-5-3-3-4-5-3-5-3-4-5-4-3-5-2-5-4-5-3-5-3-4,03AGdBq26O7QurvXajCbnHhwL7FZ1RMZYqevb2CObfnaeITlAk0_UYafynpfc2SbL8T5JeljxrJH1YmDCm2XwjsLy9qWzynPCWD3OFNOaazcAgoY6JVtPMiz9s30H2YEMWSkDuhMfw0O8HGE9x9tRk9XvEanHi1yMElfj3WxeWd4UndUEGGy_239E6biH6B59yh_aYt_UDgHokhLWNYNXmeNuONNjfBaP-clpotULSHkH9VGgfBhQBEfy5dbDd336I3uaNnPIE8IHfBqNrs7eodopMpCu5ULBdJV53usVGoUnKozLuKWfaqHe6ZZJNf_-9zOxJfGsaoDLtE9FD3PzqF3eWUl44yW-bzPFbDcLqWaN2jYWwYBTHLZ9_r_2Wnsh73w2y9cSo3h0ypSr_IybdGvqDRa5xAksQC_7BDMhrj8vf311hAqBO9eADnt7WGgsCdg16YUWyY-N3eSNZagy1MK2Ief9Uw7asRDXAFhLhKve1BP_yMycapOc,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,38.0,Male,Bachelor's Degree,Employed full-time,1,3,3,2,2,0,Job Search and Job Performance,7.0,3.0,10,2,3,2,agree,strongly agree,agree,agree,strongly agree,appropriately confident,agree,agree,strongly agree,agree,agree,appropriately confident,1640802041.0,1640802735.0,1,1,1,2.6
8hol6c42,13,0,13,13,employer,CompletionCode,2021-12-29 18:18:39.311493+00:00,1,A1TMZLYXQAK8Q0,3W2LOLRXLBE9UWVW9Z27IKN18HQRKN,i296sha9,36FFXPMST8ND894ELKD5ND6FLY0HO2,3QLL1RLFXTVW9KXX0ZQOYYAOI1U4GX,,0,2.5,1.0,13,,5w56jk7w-bb8z8ed6-ol5pm7jm-fxzz9cyh-zfaqhzmr-yuhppo5i-tl04r4q8-djge6l1u-xigs4k7b-iyw8pe1i-cujug80z-xc92o1xj-dolni8g0-0anubedx-nt52v32p-jztr8hrb-nxlg1om0-b5n4o29y-d7duei65-khqtfdxr-ep1lzpk7-tu4szriy-h5ud4j1k,0.90-1.20-1.10-1.10-1.20-0.90-0.90-1.10-1.20-1.20-1.25-1.15-1.20-1.22-1.20-1.10-1.01-0.76-1.11-1.20-1.16-1.18-1.15,4-8-7-7-8-4-4-7-7-7-9-7-8-8-7-6-6-4-6-7-7-7-7,3-4-4-4-4-3-3-4-4-4-3-4-4-4-4-4-4-3-4-4-3-3-3,03AGdBq25dHxvb1pVc7WbfglnCvyK0o5AqKDu6EIpu3uVSGv4YTvyAtRgYdd5kqQKvdn03KTQbMDTrQDAzyUe1WE1ceAR0kdwFWirNZkszXxM4cQfwlqohyln9jbLnIgxanv9egQlzmWkliAy74lvRSP_DS4-XjVGze1o1iNEzZmBCQf1BEjq4A_kq6rC0p88zqmMcVg17m7HRiWoddrnR3wzrgi0qEEIc9wj7zHALUrUK6lgo9fufszvHCr1CtzV-N3JoWRw4gcDGLfN66ljja2-D2YkQYmysbu1sChcmPJHsh2Nzxz7AzvDeGD2IMKKnrbFudmrvlcBaa0uhiNHQj08ffeVhcyqKydPlQ_K43j86pmHE9La623sn5fqcZ890kW27K8Bv3vLavle-ssxdH2sVxmwIdHsRbJ0w2XgaMYQiOIeg4V5_Ij2c4lDbG2OAKB09HQSH-5u9UDcqtHBPBMC3_tcAV-Kwqzx8Ric3b_mb3BJ1-X2GN7MMbAyrLWCTypSamnHA0ubzA7VkmGnoH14EIdwSz17i7w,"For completing this study, I will receive a guaranteed payment of $2.50 plus a bonus payment from each of the parts of the study.","depends on the applicants' performance on the <em>job performance</em> questions, which I will <em>not</em> see as part of their application portfolios.",the <em>maximum</em> amount I'm willing to exchange in order to receive 20 cents for each <em>job performance</em> question that the applicant answered correctly.,the number of <em>job performance</em> questions correctly answered by each applicant.,indicate the same level(s) of social appropriateness as another randomly-selected employer.,46.0,Male,High School,Seeking opportunities,1,1,1,1,1,0,"I guess just to see how much we differed between numbers, vague words and sentences when we bet on",4.2,4.0,1,2,4,1,,,,,,,,,,,,,1640801925.0,1640802844.0,1,1,1,0.8
